100 .004975001249750366 .0071774096314312485
207 .0023980677442934084 .003459680442407883
428 .0011668595547771332 .0016834224930908739
886 .000564015613020663 .0008137025278888593
1833 .0002725538091337132 .00039321202881260507
3793 .000131769664333925 .00019010344127415692
7848 637064404619414e-19 9190896572713087e-20
16238 30791021307763344e-21 4442205374461658e-20
33598 14881616736017733e-21 21469634665462987e-21
69519 7192123186117172e-21 10376040454073775e-21
143845 34759274676332552e-22 501470332004423e-20
297635 1679901471707268e-21 24235855224141468e-22
615848 8118879560869985e-22 11713067280041892e-22
1274275 39237948223913577e-23 5660839331729802e-22
2636651 18963435377550297e-23 2735845417741014e-22
5455595 916489525382147e-22 13222148932955032e-23
11288379 44293257173144696e-24 6390166246851535e-23
23357215 21403540717557235e-24 3087878205068483e-23
48329302 1035575147856349e-23 149401913028021e-22
1e8 5086246757102231e-24 7337902973208961e-24
